value,en,minVersion,maxVersion,
Adobe Add Anchor Point Tool,Add Anchor Point Tool,24,
Adobe Anchor Point Tool,Anchor Point Tool,24,
Adobe Arc Tool,Arc Tool,24,
Adobe Area Graph Tool,Area Graph Tool,24,
Adobe Area Type Tool,Area Type Tool,24,
Adobe Crop Tool,Artboard Tool,24,
Adobe Bar Graph Tool,Bar Graph Tool,24,
Adobe Blend Tool,Blend Tool,24,
Adobe Bloat Tool,Bloat Tool,24,
Adobe Blob Brush Tool,Blob Brush Tool,24,
Adobe Column Graph Tool,Column Graph Tool,24,
Adobe Cyrstallize Tool,Crystallize Tool,24,
Adobe Curvature Tool,Curvature Tool,24,
Adobe Delete Anchor Point Tool,Delete Anchor Point Tool,24,
Adobe Direct Select Tool,Direct Selection Tool,24,
Adobe Ellipse Shape Tool,Ellipse Tool,24,
Adobe Eraser Tool,Eraser Tool,24,
Adobe Eyedropper Tool,Eyedropper Tool,24,
Adobe Flare Tool,Flare Tool,24,
Adobe Free Transform Tool,Free Transform Tool,24,
Adobe Gradient Vector Tool,Gradient Tool,24,
Adobe Direct Object Select Tool,Group Selection Tool,24,
Adobe Scroll Tool,Hand Tool,24,
Adobe Corner Join Tool,Join Tool,24,
Adobe Knife Tool,Knife Tool,24,
Adobe Direct Lasso Tool,Lasso Tool,24,
Adobe Line Graph Tool,Line Graph Tool,24,
Adobe Line Tool,Line Segment Tool,24,
Adobe Planar Paintbucket Tool,Live Paint Bucket Tool,24,
Adobe Planar Face Select Tool,Live Paint Selection Tool,24,
Adobe Magic Wand Tool,Magic Wand Tool,24,
Adobe Measure Tool,Measure Tool,24,
Adobe Mesh Editing Tool,Mesh Tool,24,
Adobe Brush Tool,Paintbrush Tool,24,
Adobe Freehand Erase Tool,Path Eraser Tool,24,
Adobe Pattern Tile Tool,Pattern Tile Tool,24,
Adobe Pen Tool,Pen Tool,24,
Adobe Freehand Tool,Pencil Tool,24,
Perspective Grid Tool,Perspective Grid Tool,24,
Perspective Selection Tool,Perspective Selection Tool,24,
Adobe Pie Graph Tool,Pie Graph Tool,24,
Adobe Polar Grid Tool,Polar Grid Tool,24,
Adobe Shape Construction Regular Polygon Tool,Polygon Tool,24,
Adobe Page Tool,Print Tiling Tool,24,
Adobe Pucker Tool,Pucker Tool,24,
Adobe Puppet Warp Tool,Puppet Warp Tool,24,
Adobe Radar Graph Tool,Radar Graph Tool,24,
Adobe Rectangle Shape Tool,Rectangle Tool,24,
Adobe Rectangular Grid Tool,Rectangular Grid Tool,24,
Adobe Reflect Tool,Reflect Tool,24,
Adobe Reshape Tool,Reshape Tool,24,
Adobe Rotate Tool,Rotate Tool,24,
Adobe Rotate Canvas Tool,Rotate View Tool,24,
Adobe Rounded Rectangle Tool,Rounded Rectangle Tool,24,
Adobe Scale Tool,Scale Tool,24,
Adobe Scallop Tool,Scallop Tool,24,
Adobe Scatter Graph Tool,Scatter Graph Tool,24,
Adobe Scissors Tool,Scissors Tool,24,
Adobe Select Tool,Selection Tool,24,
Adobe Shape Builder Tool,Shape Builder Tool,24,
Adobe Shaper Tool,Shaper Tool,24,
Adobe Shear Tool,Shear Tool,24,
Adobe Slice Tool,Slice Tool,24,
Adobe Slice Select Tool,Slice Selection Tool,24,
Adobe Freehand Smooth Tool,Smooth Tool,24,
Adobe Shape Construction Spiral Tool,Spiral Tool,24,
Adobe Stacked Bar Graph Tool,Stacked Bar Graph Tool,24,
Adobe Stacked Column Graph Tool,Stacked Column Graph Tool,24,
Adobe Shape Construction Star Tool,Star Tool,24,
Adobe Symbol Screener Tool,Symbol Screener Tool,24,
Adobe Symbol Scruncher Tool,Symbol Scruncher Tool,24,
Adobe Symbol Shifter Tool,Symbol Shifter Tool,24,
Adobe Symbol Sizer Tool,Symbol Sizer Tool,24,
Adobe Symbol Spinner Tool,Symbol Spinner Tool,24,
Adobe Symbol Sprayer Tool,Symbol Sprayer Tool,24,
Adobe Symbol Stainer Tool,Symbol Stainer Tool,24,
Adobe Symbol Styler Tool,Symbol Styler Tool,24,
Adobe Touch Type Tool,Touch Type Tool,24,
Adobe New Twirl Tool,Twirl Tool,24,
Adobe Type Tool,Type Tool,24,
Adobe Path Type Tool,Type on a Path Tool,24,
Adobe Vertical Area Type Tool,Vertical Area Type Tool,24,
Adobe Vertical Type Tool,Vertical Type Tool,24,
Adobe Vertical Path Type Tool,Vertical Type on a Path Tool,24,
Adobe Warp Tool,Warp Tool,24,
Adobe Width Tool,Width Tool,24,
Adobe Wrinkle Tool,Wrinkle Tool,24,
Adobe Zoom Tool,Zoom Tool,24,